	Gene	Chr	Gene Start	Gene End	nSNPs	TopSNP	TopSNP Pos	TopSNP P-Value
1997	C15orf59	chr15	74032596	74044719	125	rs57322685	74024031.0	0.0006666
1998	C15orf61	chr15	67814122	67818879	72	rs72747462	67818538.0	0.02124
1999	C15orf62	chr15	41062158	41064643	58	rs79098095	41067021.0	0.02839
2000	C15orf65	chr15	55709895	55710962	98	rs78983506	55709564.0	0.004435
2001	C16orf45	chr16	15670990	15681214	58	rs3743521	15689721.0	0.03247
2002	C16orf46	chr16	81097358	81110683	164	rs72825255	81101703.0	0.00361
2003	C16orf54	chr16	29753783	29757327	47	rs145400509	29758658.0	0.02833
2004	C16orf58	chr16	31510562	31519475	52	rs8064191	31525871.0	0.03456
2005	C16orf70	chr16	67180186	67181610	29	rs9033	67181999.0	0.008193
2006	C16orf71	chr16	4784502	4799397	138	rs921864	4801842.0	0.003223
2007	C16orf72	chr16	9185504	9215497	239	rs8052104	9211739.0	0.008046
2008	C16orf74	chr16	85741259	85784718	251	rs6540076	85779727.0	0.01059
2009	C16orf78	chr16	49407733	49433342	140	rs60136457	49425814.0	0.007586
2010	C16orf82	chr16	27078218	27080486	89	rs11863356	27089076.0	0.07143
2011	C16orf86	chr16	67701210	67702099	26	rs61421564	67708130.0	0.0003678
2012	C16orf87	chr16	46836914	46864671	35	rs56219349	46830126.0	0.01157
2013	C16orf89	chr16	5097878	5108621	94	rs145467087	5107902.0	0.01064
2014	C16orf90	chr16	3543483	3545424	111	chr16_3548895_D	3548895.0	0.07115
2015	C16orf91	chr16	1469943	1479345	104	rs78496303	1482591.0	0.005644
2016	C16orf92	chr16	30035073	30039023	45	rs11649274	30026469.0	2.809e-07
2017	C16orf95	chr16	87336489	87350986	189	rs145384553	87337600.0	0.003515
2018	C16orf96	chr16	4606490	4650715	170	rs117837409	4631802.0	0.001437
2019	C17orf47	chr17	56618947	56621729	45	chr17_56619441_I	56619441.0	2.76e-05
2020	C17orf49	chr17	6919483	6920839	44	rs117114327	6917873.0	0.09406
2021	C17orf51	chr17	21438701	21454943	23	rs72624978	21455337.0	0.04711
2022	C17orf53	chr17	42231727	42239372	55	rs2526019	42242629.0	0.03213
2023	C17orf58	chr17	65987245	65989765	34	rs117620286	65982639.0	0.111
2024	C17orf64	chr17	58499895	58503769	38	rs7222800	58503389.0	0.1115
2025	C17orf67	chr17	54902107	54916134	72	rs7209198	54909404.0	0.2707
2026	C17orf75	chr17	30667887	30669186	22	rs35677406	30665005.0	2.481e-05
2027	C17orf80	chr17	71229364	71243594	148	rs146488254	71222099.0	0.06135
2028	C17orf97	chr17	263885	273510	124	rs72631440	276024.0	0.01057
2029	C17orf99	chr17	76160638	76162235	119	rs117276569	76171962.0	0.006684
2030	C17orf100	chr17	6555058	6556617	101	chr17_6558277_D	6558277.0	0.002708
2031	C17orf107	chr17	4802830	4806227	109	chr17_4796510_D	4796510.0	0.005202
2032	C17orf113	chr17	40192730	40195135	31	chr17_40191560_D	40191560.0	0.1284
2033	C18orf21	chr18	33552675	33553611	45	chr18_33560133_D	33560133.0	0.01394
2034	C18orf25	chr18	43753999	43846946	203	chr18_43749123_D	43749123.0	0.003326
2035	C18orf32	chr18	47008435	47012983	116	rs8087450	47007903.0	0.008635
2036	C18orf54	chr18	51900619	51911588	134	rs62093767	51909573.0	0.007873
2037	C18orf63	chr18	71983047	72026422	270	rs2276273	71981346.0	0.0657
2038	C19orf12	chr19	30193748	30206182	136	rs8103258	30210109.0	0.03886
2039	C19orf18	chr19	58469804	58485902	134	rs35619071	58468165.0	0.02917
2040	C19orf24	chr19	1277869	1279248	17	rs7257836	1275088.0	0.07192
2041	C19orf25	chr19	1478772	1479176	30	rs11671400	1480825.0	0.3021
2042	C19orf33	chr19	38794912	38795646	80	rs35710536	38794368.0	0.0084
2043	C19orf38	chr19	10959170	10970780	66	rs189374890	10957051.0	0.004706
2044	C19orf44	chr19	16623879	16628931	49	rs1043481	16633950.0	0.1295
2045	C19orf47	chr19	40834376	40854421	117	rs117004636	40848914.0	0.005
2046	C19orf48	chr19	51305245	51307851	109	rs7258535	51307981.0	0.05607
2047	C19orf53	chr19	13885637	13889276	107	rs1044747	13885024.0	0.01571
2048	C19orf54	chr19	41250848	41255499	72	rs2607415	41262687.0	0.0425
2049	C19orf57	chr19	14003992	14017265	75	rs56269629	13996388.0	0.02459
2050	C19orf66	chr19	10202265	10203920	21	chr19_10194338_I	10194338.0	0.06195
2051	C19orf67	chr19	14194344	14196687	29	rs115655823	14185493.0	0.1755
2052	C19orf70	chr19	5679054	5680521	55	rs10424357	5672663.0	0.005441
2053	C19orf71	chr19	3539151	3544028	72	rs141523193	3530078.0	0.1099
2054	C19orf73	chr19	49621654	49622397	78	rs12975592	49626387.0	6.996e-05
2055	C19orf81	chr19	51161752	51162567	68	rs8101316	51166451.0	0.03305
2056	C19orf84	chr19	51892190	51893817	90	rs144063168	51884376.0	0.1551
2057	C20orf27	chr20	3734154	3739325	94	rs910652	3727970.0	0.03153
2058	C20orf85	chr20	56725959	56736206	74	rs78308677	56722048.0	0.007445
2059	C20orf96	chr20	257209	271304	185	chr20_259557_D	259557.0	0.02014
2060	C20orf141	chr20	2795656	2796479	71	chr20_2793762_D	2793762.0	0.01424
2061	C20orf144	chr20	32251171	32253425	25	rs148298666	32245789.0	0.1122
2062	C20orf173	chr20	34116573	34117452	62	rs148917333	34116141.0	0.006602
2063	C20orf194	chr20	3276139	3296737	187	chr20_3290964_I	3290964.0	0.01122
2064	C20orf202	chr20	1184097	1188918	107	rs6078103	1175730.0	0.01201
2065	C20orf203	chr20	31219453	31261743	180	chr20_31236410_I	31236410.0	0.000653
2066	C20orf204	chr20	62669492	62671131	53	rs11698702	62667150.0	0.005392
2067	C21orf2	chr21	45751844	45753347	57	rs2277809	45751822.0	0.09218
2068	C21orf58	chr21	47734784	47743783	101	rs115800576	47748761.0	0.001614
2069	C21orf62	chr21	34166031	34185944	100	rs12627142	34156633.0	0.007532
2070	C21orf91	chr21	19190037	19191679	36	rs6517791	19200753.0	0.001635
2071	C22orf15	chr22	24105409	24108048	92	rs45548434	24096726.0	0.04565
2072	C22orf23	chr22	38341167	38349552	30	rs145425114	38345671.0	0.04317
2073	C22orf31	chr22	29454659	29457832	82	rs5997435	29446611.0	0.00393
2074	C22orf39	chr22	19430893	19435220	62	rs5993641	19426166.0	0.002209
2075	C22orf42	chr22	32545166	32545913	127	rs9609447	32541509.0	0.0166
2076	C22orf46	chr22	42086546	42094140	75	rs148537066	42079361.0	0.0001717
2077	CA1	chr8	86253643	86255029	47	rs143069075	86256488.0	0.08127
2078	CA2	chr8	86376242	86389384	57	rs117385545	86397482.0	0.1441
2079	CA3	chr8	86351086	86354662	51	rs76402711	86362214.0	0.2235
2080	CA4	chr17	58235468	58236325	27	rs345183	58239883.0	0.03451
2081	CA5A	chr16	87959144	87970135	137	chr16_87973559_D	87973559.0	0.02929
2082	CA5B	chrX	15792391	15793754	63	rs5980181	15792962.0	0.002126
2083	CA6	chr1	9005945	9034503	206	rs12034366	9012340.0	0.0006447
2084	CA7	chr16	66878834	66887623	50	chr16_66886468_D	66886468.0	6.674e-05
2085	CA8	chr8	61177380	61193883	162	chr8_61188018_I	61188018.0	0.0003105
2086	CA9	chr9	35680697	35681156	64	chr9_35679545_I	35679545.0	0.03167
2087	CA10	chr17	50008423	50235423	578	rs188853006	50072283.0	0.004456
2088	CA11	chr19	49141278	49142716	37	rs547348	49136479.0	0.005401
2089	CA12	chr15	63667658	63671272	69	rs4984268	63663579.0	0.001343
2090	CA13	chr8	86157755	86196302	104	chr8_86199551_I	86199551.0	0.08343
2091	CA14	chr1	150235442	150237291	23	rs11548267	150238699.0	7.219e-08
2092	CAAP1	chr9	26869923	26887476	118	rs10967586	26895808.0	4.749e-07
2093	CAB39	chr2	231678697	231682897	55	chr2_231690431_I	231690431.0	0.06556
2094	CAB39L	chr13	49975631	50018200	239	rs77617914	49969235.0	0.00792
2095	CABCOCO1	chr10	63422754	63450378	208	rs113329050	63437550.0	0.003387
2096	CABIN1	chr22	24571746	24573506	49	rs17854875	24564477.0	0.1221
2097	CABLES1	chr18	20735788	20838617	292	rs72874989	20786284.0	0.01299
2098	CABLES2	chr20	60966069	60971387	141	rs34477462	60976675.0	0.004572
2099	CABP1	chr12	121096778	121100217	110	rs1151874	121092555.0	0.002833
2100	CABP2	chr11	67286418	67290899	44	rs629952	67299893.0	0.08738
2101	CABP4	chr11	67222873	67225120	32	rs34474432	67230869.0	0.1064
2102	CABP5	chr19	48544585	48547138	153	rs66587776	48536354.0	0.102
2103	CABP7	chr22	30116072	30127828	115	rs140091	30110546.0	0.03256
2104	CABS1	chr4	71200682	71202833	150	rs11249494	71204251.0	0.02951
2105	CABYR	chr18	21736067	21741546	73	chr18_21744454_I	21744454.0	0.01009
2106	CACFD1	chr9	136327292	136333150	81	rs118094162	136342852.0	3.538e-05
2107	CACHD1	chr1	65129882	65131823	38	rs79367366	65136573.0	0.06346
2108	CACNA1A	chr19	13629788	13631071	152	rs117178675	13629414.0	7.205e-05
2109	CACNA1B	chr9	140970320	141000230	101	rs1531167	140992573.0	0.0005198
2110	CACNA1C	chr12	2775781	2786979	108	rs2058819	2784662.0	0.0129
2111	CACNA1D	chr3	53830148	53845324	116	rs893364	53841506.0	0.0164
2112	CACNA1E	chr1	181452880	181768095	900	rs633125	181443014.0	0.000456
2113	CACNA1F	chrX	49078716	49079602	38	rs190989884	49068939.0	0.01465
2114	CACNA1G	chr17	48677085	48684871	59	rs34081637	48672946.0	0.0009461
2115	CACNA1H	chr16	1261481	1271765	174	rs148897236	1279555.0	0.02746
2116	CACNA1I	chr22	40038801	40039517	57	rs2010746	40041317.0	1.486e-09
2117	CACNA1S	chr1	201008641	201081579	355	rs12138260	201020360.0	5.986e-06
2118	CACNA2D1	chr7	81680250	81714152	161	rs36167844	81689238.0	0.0009314
2119	CACNA2D2	chr3	50400285	50403213	28	rs2236949	50410041.0	7.272e-05
2120	CACNA2D3	chr3	54306800	54354568	355	rs7637308	54362551.0	0.004901
2121	CACNA2D4	chr12	1993195	1994045	77	rs12371387	1989735.0	0.00731
2122	CACNB1	chr17	37348276	37351522	42	rs11871079	37345020.0	0.001488
2123	CACNB2	chr10	18429720	18471036	315	rs113390901	18441739.0	0.02625
2124	CACNB3	chr12	49218897	49221651	37	rs34014405	49211913.0	0.0005483
2125	CACNB4	chr2	152732993	152828502	311	rs770612	152730939.0	0.01269
2126	CACNG1	chr17	65040705	65052909	96	chr17_65045691_D	65045691.0	0.03981
2127	CACNG2	chr22	36980535	36981501	93	rs2283976	36973662.0	0.03275
2128	CACNG3	chr16	24266873	24374122	485	rs2107118	24310282.0	5.341e-05
2129	CACNG4	chr17	64961025	65029514	313	rs144703660	64961303.0	0.001539
2130	CACNG5	chr17	64873450	64881357	118	rs757613	64891066.0	0.008171
2131	CACNG6	chr19	54496131	54515443	215	rs112005415	54493780.0	0.003421
2132	CACNG7	chr19	54416070	54444915	86	rs74182516	54428432.0	0.02904
2133	CACNG8	chr19	54466293	54493469	137	rs112005415	54493780.0	0.003421
2134	CACTIN	chr19	3614407	3616690	93	rs11883225	3619679.0	0.04828
2135	CACUL1	chr10	120488686	120513989	141	rs117681085	120492868.0	0.00364
2136	CACYBP	chr1	174975718	174978033	44	rs61828157	174978038.0	0.00173
2137	CAD	chr2	27464788	27466458	59	rs11693660	27468856.0	0.002579
2138	CADM1	chr11	115099908	115127611	108	rs10891817	115136714.0	0.003638
2139	CADM2	chr3	85008155	85009589	57	rs62250577	84998790.0	0.06447
2140	CADM3	chr1	159166631	159171118	81	rs862994	159165336.0	0.009761
2141	CADM4	chr19	44128987	44130123	42	chr19_44136132_I	44136132.0	0.05759
2142	CADPS	chr3	62521690	62535789	93	rs73840503	62542101.0	0.02192
2143	CADPS2	chr7	122131471	122225815	300	rs149105725	122223008.0	0.0131
2144	CAGE1	chr6	7374185	7389635	120	rs9392152	7381762.0	0.1293
2145	CALB1	chr8	91090538	91094811	58	rs76744877	91094542.0	0.003808
2146	CALB2	chr16	71419245	71423769	91	rs62055056	71418999.0	1.41e-05
2147	CALCA	chr11	14990251	14993819	41	chr11_14992795_D	14992795.0	0.007921
2148	CALCB	chr11	15095107	15100178	60	rs11023426	15097084.0	0.04343
2149	CALCOCO1	chr12	54118366	54121236	63	rs73104022	54119414.0	0.08241
2150	CALCOCO2	chr17	46942446	46943884	74	rs6504584	46941419.0	0.0002443
2151	CALCR	chr7	93055667	93116293	220	rs2282999	93059404.0	0.005381
2152	CALCRL	chr2	188293063	188312873	102	rs75410876	188301830.0	0.02731
2153	CALD1	chr7	134649961	134653474	47	rs62480962	134642433.0	0.002677
2154	CALHM1	chr10	105213143	105218645	70	rs4918016	105218254.0	8.82e-05
2155	CALHM2	chr10	105210168	105211345	40	rs4918016	105218254.0	8.82e-05
2156	CALHM3	chr10	105232560	105238997	82	rs10883872	105245420.0	5.738e-05
2157	CALHM4	chr6	116874912	116879738	69	rs117679433	116867332.0	0.008438
2158	CALHM5	chr6	116832808	116845955	118	rs12663689	116851660.0	0.0162
2159	CALHM6	chr6	116783629	116784931	81	rs117361304	116783619.0	0.00825
2160	CALM1	chr14	90870511	90871129	49	rs12881551	90878880.0	0.001456
2161	CALM2	chr2	47389424	47403609	119	rs11884600	47384601.0	0.003303
2162	CALM3	chr19	47111229	47112491	72	rs10113	47112648.0	0.0003675
2163	CALML3	chr10	5566923	5568225	75	rs9423644	5570173.0	0.00499
2164	CALML4	chr15	68489777	68492300	43	rs138357810	68495405.0	0.1026
2165	CALML5	chr10	5540657	5541533	74	chr10_5545955_I	5545955.0	0.01066
2166	CALML6	chr1	1846847	1848510	76	rs2092922	1856700.0	0.002445
2167	CALN1	chr7	71488641	71802736	1188	rs2867673	71752652.0	1.647e-06
2168	CALR	chr19	13054686	13055303	28	rs191044678	13053817.0	0.0001141
2169	CALR3	chr19	16594779	16606930	112	rs182653304	16602119.0	0.1022
2170	CALU	chr7	128399015	128411861	97	rs17397588	128414484.0	0.02655
2171	CALY	chr10	135140930	135150376	74	rs11101694	135146714.0	0.01084
2172	CAMK1	chr3	9803371	9811676	60	rs6787046	9795057.0	0.05784
2173	CAMK1D	chr10	12391731	12868142	2294	rs72767691	12437871.0	0.0005671
2174	CAMK1G	chr1	209781138	209785289	83	rs4140599	209783694.0	0.004547
2175	CAMK2A	chr5	149644704	149669350	114	rs36085208	149652181.0	0.003008
2176	CAMK2B	chr7	44302603	44365118	251	rs79403905	44330743.0	0.003836
2177	CAMK2D	chr4	114680270	114682607	56	chr4_114676327_I	114676327.0	0.02116
2178	CAMK2G	chr10	75606982	75612574	39	rs111305548	75606345.0	0.2003
2179	CAMK2N1	chr1	20809679	20811138	43	rs1873949	20819935.0	0.04127
2180	CAMK2N2	chr3	183977000	183979251	52	rs1709621	183976906.0	0.01003
2181	CAMK4	chr5	110818185	110825410	57	rs118036	110810131.0	0.003397
2182	CAMKK1	chr17	3782124	3798185	95	rs55738866	3797144.0	0.03779
2183	CAMKK2	chr12	121712067	121735139	122	chr12_121731725_I	121731725.0	0.004443
2184	CAMKMT	chr2	44599880	44619212	135	rs114225929	44620787.0	0.03178
2185	CAMKV	chr3	49899221	49907338	54	chr3_49915789_D	49915789.0	0.0007204
2186	CAMLG	chr5	134074272	134087067	45	rs17713112	134074931.0	0.006767
2187	CAMP	chr3	48264861	48266975	33	chr3_48256462_D	48256462.0	0.007597
2188	CAMSAP1	chr9	138758224	138774712	75	rs71508821	138753305.0	0.004403
2189	CAMSAP2	chr1	200825221	200826852	62	rs115765157	200816643.0	0.00642
2190	CAMSAP3	chr19	7681291	7682317	60	rs4134860	7686407.0	0.0005058
2191	CAMTA1	chr1	7805020	7826582	109	rs80092658	7807913.0	0.000219
2192	CAMTA2	chr17	4886096	4886531	66	rs149547578	4879323.0	0.02928
2193	CAND1	chr12	67692751	67708388	116	rs17103685	67710586.0	0.008405
2194	CAND2	chr3	12868944	12913415	240	rs9869672	12902913.0	0.005801
2195	CANT1	chr17	76994310	77005875	119	rs189267428	77001124.0	0.01319
2196	CANX	chr5	179153705	179156650	48	rs12054833	179157025.0	0.003075
2197	CAP1	chr1	40536141	40537355	46	rs111666613	40528311.0	0.0896
2198	CAP2	chr6	17393962	17539521	481	rs11754910	17537828.0	0.01658
2199	CAPG	chr2	85629260	85641097	155	rs3770102	85637837.0	0.002276
2200	CAPN1	chr11	64976614	64979477	77	rs183596457	64983842.0	0.02632
2201	CAPN2	chr1	223958324	223963720	84	chr1_223965742_I	223965742.0	4.29e-05
2202	CAPN3	chr15	42703081	42704445	44	rs117272458	42714028.0	0.0009128
2203	CAPN5	chr11	76830452	76835541	93	rs12802850	76843362.0	0.00312
2204	CAPN6	chrX	110489583	110507104	50	rs17882616	110494277.0	0.03131
2205	CAPN7	chr3	15288743	15292809	31	chr3_15290531_D	15290531.0	0.0471
2206	CAPN8	chr1	223814741	223816672	109	rs72747945	223825268.0	0.004093
2207	CAPN9	chr1	230927622	230937508	113	rs11584791	230926057.0	0.009954
2208	CAPN10	chr2	241537440	241546937	168	rs36086834	241550675.0	0.006592
2209	CAPN11	chr6	44144352	44151004	117	rs58040611	44148568.0	0.001358
2210	CAPN12	chr19	39232882	39234812	112	rs148473030	39244103.0	0.07158
2211	CAPN13	chr2	30987113	31030292	267	rs542454	30982118.0	0.0292
2212	CAPN14	chr2	31397546	31440411	454	rs10204608	31415263.0	0.002156
2213	CAPN15	chr16	602754	604636	37	rs117014551	609981.0	0.0005807
2214	CAPNS1	chr19	36636274	36640482	87	rs146729768	36650344.0	0.0002342
2215	CAPNS2	chr16	55600583	55601599	56	rs56946175	55610242.0	0.02531
2216	CAPRIN1	chr11	34117706	34118819	51	rs16925153	34109310.0	0.001275
2217	CAPRIN2	chr12	30888109	30907794	144	rs10771763	30896671.0	0.003592
2218	CAPS	chr19	5914283	5915044	54	rs112968295	5912162.0	0.02988
2219	CAPS2	chr12	75767277	75784681	79	chr12_75784767_I	75784767.0	0.06624
2220	CAPSL	chr5	35909931	35938737	189	rs6451241	35933518.0	0.02728
2221	CAPZA1	chr1	113209541	113212216	44	rs3748655	113217311.0	1.24e-05
2222	CAPZA2	chr7	116555509	116557814	39	rs10487355	116547015.0	0.008361
2223	CAPZA3	chr12	18891044	18892121	72	rs10770397	18898285.0	0.1076
2224	CAPZB	chr1	19684015	19746638	316	rs148214190	19693341.0	0.02936
2225	CARD6	chr5	40841409	40860275	104	rs79619305	40855026.0	0.00228
2226	CARD8	chr19	48741518	48753028	160	rs12978417	48761942.0	0.1089
2227	CARD9	chr9	139265045	139268098	88	rs3812555	139261933.0	0.02732
2228	CARD10	chr22	37904533	37910812	114	rs78185428	37895233.0	0.009551
2229	CARD11	chr7	2959113	2969694	160	rs184462270	2973418.0	0.0004686
2230	CARD14	chr17	78166178	78171331	111	rs112830458	78171263.0	0.02943
2231	CARD16	chr11	104914637	104916047	66	rs1785881	104921411.0	0.03851
2232	CARD17	chr11	104963195	104972158	94	chr11_104959663_I	104959663.0	0.03905
2233	CARD18	chr11	105008754	105010320	104	rs7117758	105007755.0	0.07214
2234	CARD19	chr9	95872173	95875565	84	rs78059732	95876097.0	0.03024
2235	CARF	chr2	203777005	203807670	106	rs11695155	203781071.0	0.0009734
2236	CARHSP1	chr16	8953187	8955638	143	rs17680152	8946601.0	0.0507
2237	CARM1	chr19	11031342	11032610	47	rs111698028	11027513.0	0.01706
2238	CARMIL1	chr6	25610349	25620758	123	rs12213398	25619463.0	0.004532
2239	CARMIL2	chr16	67690742	67691469	29	rs9972635	67682580.0	0.0006211
2240	CARMIL3	chr14	24531127	24538933	67	rs1951635	24529890.0	0.00152
2241	CARNMT1	chr9	77631764	77643339	102	rs77326039	77629529.0	0.02723
2242	CARNS1	chr11	67188578	67191311	44	rs1626067	67192555.0	0.02927
2243	CARS	chr11	3061753	3078667	121	rs74937625	3067358.0	0.01479
2244	CARS2	chr13	111357867	111365882	83	chr13_111348623_D	111348623.0	0.00867
2245	CARTPT	chr5	71015405	71016875	101	rs7706164	71017098.0	0.02169
2246	CASC1	chr12	25307308	25348061	231	chr12_25343703_D	25343703.0	0.05995
2247	CASC3	chr17	38324690	38328417	38	chr17_38331494_I	38331494.0	0.005739
2248	CASC4	chr15	44698527	44702045	26	rs28497688	44700138.0	0.01839
2249	CASC10	chr10	21781586	21786191	29	rs79827642	21780626.0	0.02284
2250	CASD1	chr7	94183163	94186278	66	rs34442545	94193891.0	0.000132
2251	CASK	chrX	41519353	41525085	41	rs144222794	41523656.0	0.06785
2252	CASKIN1	chr16	2238897	2239497	30	rs139589663	2240724.0	0.08112
2253	CASKIN2	chr17	73509808	73511341	100	rs117266963	73509605.0	0.01432
2254	CASP1	chr11	104901849	104905870	109	rs11604437	104914586.0	0.04978
2255	CASP2	chr7	142988710	142991574	25	rs3212148	142999158.0	0.0003752
2256	CASP3	chr4	185553049	185570601	117	rs116609630	185570696.0	0.003661
2257	CASP4	chr11	104822123	104839302	106	chr11_104826291_D	104826291.0	0.001919
2258	CASP5	chr11	104874000	104893870	153	rs11574693	104864059.0	0.001568
2259	CASP6	chr4	110615736	110624739	64	rs13846	110605744.0	0.006059
2260	CASP7	chr10	115480756	115489262	89	rs114200620	115474568.0	0.01899
2261	CASP8	chr2	202137360	202146582	89	chr2_202137786_I	202137786.0	0.001046
2262	CASP8AP2	chr6	90539649	90567068	137	chr6_90545685_D	90545685.0	0.0202
2263	CASP9	chr1	15844630	15853029	114	rs113774061	15847647.0	0.06755
2264	CASP10	chr2	202052468	202058126	49	chr2_202045192_D	202045192.0	0.03236
2265	CASP12	chr11	104757440	104769141	46	rs506601	104770481.0	0.0007122
2266	CASP14	chr19	15165712	15167089	115	rs62115009	15170345.0	0.005985
2267	CASQ1	chr1	160162427	160168843	65	rs686015	160171973.0	0.001041
2268	CASQ2	chr1	116269645	116275548	101	rs78224145	116281818.0	0.03101
2269	CASR	chr3	121973177	121976485	108	chr3_121985324_D	121985324.0	0.007142
2270	CASS4	chr20	54987363	55028952	202	rs117301565	55004953.0	0.08285
2271	CAST	chr5	96104651	96108758	129	rs17086651	96097848.0	0.004178
2272	CASTOR1	chr22	30683427	30685535	55	rs55979575	30687066.0	0.002252
2273	CASTOR3	chr7	99820267	99844171	116	rs148689129	99845998.0	0.01472
2274	CASZ1	chr1	10764252	10765632	53	rs284247	10774856.0	0.02487
2275	CAT	chr11	34492260	34493606	67	rs7947841	34491680.0	0.06239
2276	CATIP	chr2	219230230	219232816	68	rs6757983	219225918.0	0.04913
2277	CATSPER1	chr11	65784223	65788685	81	rs72932627	65795072.0	0.01086
2278	CATSPER2	chr15	43939617	43960316	48	rs2920782	43938682.0	0.0001987
2279	CATSPER3	chr5	134303596	134331544	77	rs112736853	134306784.0	0.006006
2280	CATSPER4	chr1	26517118	26529459	115	rs2275945	26508480.0	0.002642
2281	CATSPERB	chr14	92189480	92247032	196	rs17127557	92247477.0	0.01143
2282	CATSPERD	chr19	5775252	5778510	97	rs61180947	5772950.0	0.005154
2283	CATSPERE	chr1	244803229	244804479	85	rs56249176	244802876.0	0.07367
2284	CATSPERG	chr19	38855530	38861581	87	rs151096664	38856060.0	0.01581
2285	CATSPERZ	chr11	64071126	64072221	19	rs2286614	64068310.0	0.006927
2286	CAV1	chr7	116166346	116201230	169	rs146992398	116174345.0	0.001791
2287	CAV2	chr7	116140097	116146407	118	rs2402080	116135016.0	0.03235
2288	CAV3	chr3	8775551	8788442	145	rs237883	8788485.0	0.001763
2289	CAVIN1	chr17	40554469	40575535	140	rs12600758	40566463.0	0.0003862
2290	CAVIN2	chr2	192699027	192711981	64	rs7569546	192695107.0	0.04006
2291	CAVIN3	chr11	6340373	6341762	98	chr11_6331386_I	6331386.0	0.05997
2292	CAVIN4	chr9	103340360	103350188	113	rs12685564	103358050.0	0.01237
2293	CBARP	chr19	1234572	1237845	53	rs72618593	1228974.0	0.001235
2294	CBFA2T2	chr20	32226544	32234496	23	rs80191902	32224797.0	0.006262
2295	CBFA2T3	chr16	88958692	88968923	197	rs72815507	88972852.0	0.001275
2296	CBFB	chr16	67127300	67133294	40	chr16_67139840_I	67139840.0	0.07605
2297	CBL	chr11	119076751	119178859	183	chr11_119084654_D	119084654.0	0.000498
2298	CBLB	chr3	105572257	105588266	98	chr3_105594508_D	105594508.0	0.009587
2299	CBLC	chr19	45281125	45303891	108	rs191939426	45284821.0	0.1337
2300	CBLL1	chr7	107384881	107399265	86	rs78406417	107377902.0	0.07242
2301	CBLL2	chrX	22291064	22292574	70	rs5951415	22281389.0	0.01286
2302	CBLN1	chr16	49313222	49315473	70	rs41205	49303311.0	0.01602
2303	CBLN2	chr18	70287702	70298316	120	rs17357210	70298851.0	0.002642
2304	CBLN3	chr14	24896810	24900160	107	rs117046983	24903614.0	0.03118
2305	CBLN4	chr20	54572495	54580528	48	chr20_54585232_D	54585232.0	0.0006545
2306	CBR1	chr21	37442332	37444831	103	chr21_37450599_D	37450599.0	0.005264
2307	CBR3	chr21	37507209	37518864	146	rs881712	37507769.0	4.784e-05
2308	CBR4	chr4	169928791	169931426	57	rs28870681	169925080.0	0.002895
2309	CBS	chr21	44495216	44496398	73	rs4919959	44500164.0	0.03294
2310	CBWD1	chr9	172944	179023	67	rs1932751	185609.0	0.0001397
2311	CBWD2	chr2	114239094	114253698	31	rs188134261	114230261.0	0.0004052
2312	CBWD3	chr9	70871836	70885811	0			
2313	CBWD5	chr9	70486832	70490104	0			
2314	CBWD6	chr9	42712255	42714592	0			
2315	CBX1	chr17	46152450	46177944	159	chr17_46156353_D	46156353.0	0.0003637
2316	CBX2	chr17	77751992	77756331	45	rs7217395	77754569.0	0.0008731
2317	CBX3	chr7	26247752	26252043	58	rs79477886	26249405.0	0.01643
2318	CBX4	chr17	77811544	77813212	50	rs1285251	77809823.0	0.01649
2319	CBX5	chr12	54645874	54652211	32	rs73114534	54650819.0	0.01729
2320	CBX6	chr22	39265576	39268254	54	rs74653710	39258743.0	0.0002146
2321	CBX7	chr22	39543122	39548679	83	rs5757500	39556856.0	0.03076
2322	CBX8	chr17	77769192	77775482	56	rs61013672	77769398.0	0.06505
2323	CBY1	chr22	39063900	39066950	117	rs4820340	39054450.0	0.002133
2324	CBY3	chr5	179105583	179107975	79	rs71613414	179114016.0	0.0005853
2325	CC2D1A	chr19	14034391	14038366	33	rs2305777	14038791.0	0.1481
2326	CC2D1B	chr1	52820326	52820637	30	rs34115295	52815162.0	0.03145
2327	CC2D2A	chr4	15552360	15558996	77	rs35309200	15560750.0	0.01466
2328	CC2D2B	chr10	97759847	97773629	142	rs78052475	97771023.0	0.0006326
2329	CCAR1	chr10	70547592	70549629	52	rs35528608	70552676.0	0.01828
2330	CCAR2	chr8	22475669	22478477	104	rs148631854	22474488.0	0.05803
2331	CCBE1	chr18	57102377	57122444	195	rs7244220	57130979.0	0.004972
2332	CCDC3	chr10	12938626	13043697	633	rs117168577	12981931.0	0.002702
2333	CCDC6	chr10	61566201	61572486	98	rs118178452	61570953.0	0.003576
2334	CCDC7	chr10	32832253	32833365	86	rs72795540	32843182.0	0.009257
2335	CCDC8	chr19	46913628	46916841	134	rs75175362	46914927.0	0.01959
2336	CCDC9	chr19	47769551	47773844	77	rs117519030	47774680.0	0.01202
2337	CCDC9B	chr15	40630050	40632243	80	rs74435374	40629715.0	0.01107
2338	CCDC12	chr3	47017496	47023500	40	chr3_47021509_D	47021509.0	0.02735
2339	CCDC13	chr3	42791306	42814735	95	rs115519522	42783428.0	0.006606
2340	CCDC14	chr3	123674923	123680065	63	rs62263718	123669855.0	0.009608
2341	CCDC15	chr11	124907968	124909445	89	rs7109795	124913315.0	0.0005961
